rank,delta_rank,ticker,name,commodity,type,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
3,4,FDY.TO,Faraday Copper,copper,explorer,mid,4.2,100.0,0.0401,-0.0232,0.5838,FLAT,133.33,406.02,624.14,-33.95,48.8,89.62,1.577,HIGH,-,4.314,3.9342,2.2652,1,221.0888,LEADER,65.4663
17,8,2099.HK,China Gold International Resources,copper,producer,large,151.2,86.42,-0.0343,-0.0448,0.0284,FLAT,13.94,181.19,209.33,-40.87,55.1,66.84,1.1723,MED,-,162.57,186.596,134.5895,1,149.3613,LEADER,50.2244
18,33,AUGO,"ticker
AUGO    Aura Minerals
AUGO    Aura Minerals
Name: name, dtype: object",copper,producer,large,81.6,95.06,0.1316,0.1507,0.6629,STRONG_DOWN,121.01,243.12,243.12,-31.42,60.11,84.02,1.2394,MED,-,74.8449,72.9858,,0,173.9376,LAGGARD,49.8303
20,2,1208.HK,MMG Ltd.,copper,producer,large,7.22,81.48,-0.089,-0.1058,-0.1179,STRONG_UP,25.78,168.4,122.84,-37.38,57.55,64.93,1.0384,MED,-,8.209,9.3966,6.8443,1,149.2608,LEADER,49.6829
23,1,SAG.V,Sterling Metals,copper,producer,small,1.45,97.53,-0.0313,-0.0955,-0.1847,STRONG_UP,-43.36,367.74,141.67,-51.41,36.0,70.95,0.8097,LOW,-,1.638,1.6944,1.3098,1,186.5921,LEADER,48.0438
25,9,LUN.TO,Lundin Mining,copper,producer,large,34.69,90.12,0.0328,0.0709,0.2223,STRONG_DOWN,67.43,195.42,154.29,-33.67,56.4,70.74,1.1299,MED,-,33.8229,35.5751,24.3169,1,155.8031,LEADER,47.7767
26,20,ABRA.TO,"ticker
ABRA.TO    AbraSilver Resources
ABRA.TO    AbraSilver Resources
ABRA.TO    AbraSilver Resources
Name: name, dtype: object",copper,explorer,mid,12.59,96.3,0.0802,0.0242,0.2242,FLAT,67.2,318.27,384.23,-43.5,53.6,97.47,0.7172,LOW,-,12.5195,13.5184,8.7442,1,175.0221,LEADER,47.5106
29,18,KCP.V,King Copper Discovery,copper,producer,small,0.87,98.77,0.0511,-0.044,-0.0485,STRONG_UP,58.18,383.33,544.44,-47.77,43.2,91.92,0.6317,LOW,-,0.9015,1.0613,0.6714,1,180.1567,LEADER,46.3735
39,-18,0358.HK,Jiangxi Copper H,copper,producer,large,34.1,76.54,-0.0934,-0.0266,-0.1045,FLAT,39.43,163.97,168.49,-35.42,53.88,57.89,0.7263,LOW,-,38.164,42.5116,30.4287,1,152.6086,LEADER,43.5737
42,0,III.TO,Imperial Metals,copper,producer,mid,7.77,83.95,-0.002,-0.0091,-0.1873,STRONG_UP,31.69,177.5,256.42,-47.46,53.6,66.64,0.9007,LOW,-,8.1975,10.0206,7.2795,1,142.7671,LEADER,42.9448
53,-24,HBM.TO,Hudbay Minerals,copper,producer,large,29.13,77.78,0.0429,0.0287,0.1147,FLAT,38.23,164.82,208.8,-35.94,54.4,65.57,0.9633,LOW,-,28.4929,32.4253,23.1272,1,136.7467,LEADER,40.9358
56,40,MOON.V,Blue Moon Metals,copper,explorer,mid,9.01,92.59,0.1618,0.3075,0.9224,STRONG_DOWN,178.09,226.45,1401.67,-28.19,51.6,94.33,2.3391,HIGH,-,7.6855,6.5712,4.477,1,123.8713,LEADER,40.1553
61,-3,ARG.TO,Amerigo Resources,copper,producer,mid,5.03,85.19,0.0043,0.0523,0.1614,STRONG_DOWN,90.63,178.14,275.12,-28.72,56.8,62.68,0.414,LOW,-,5.1294,5.5542,3.5543,1,161.4308,LEADER,39.4979
63,21,BRMS.JK,"ticker
BRMS.JK    Bumi Resources Minerals
BRMS.JK    Bumi Resources Minerals
Name: name, dtype: object",copper,producer,large,730.0,74.07,-0.0246,-0.105,-0.3183,STRONG_UP,12.31,157.04,380.26,-48.47,44.83,86.25,1.3022,MED,EARLY,823.5,1001.1,791.435,0,81.6256,LAGGARD,39.271
68,-30,5713.T,Sumitomo Metal Mining Co Ltd,copper,producer,large,8855.0,88.89,-0.0406,-0.1407,0.4274,FLAT,113.55,185.23,103.47,-35.85,55.14,82.06,0.8586,LOW,-,9654.4011,9523.4446,5750.1885,1,124.4645,LEADER,38.9727
79,2,B,"ticker
B    Barrick Mining
B    Barrick Mining
Name: name, dtype: object",copper,producer,large,40.79,67.9,0.0369,0.0542,-0.0345,FLAT,26.06,112.44,153.27,-29.31,60.4,51.23,0.9182,LOW,-,41.6775,45.5876,35.0034,1,132.5711,CONTENDER,37.035
84,-24,GLEN.L,Glencore,copper,producer,large,565.5,55.56,0.0426,0.2486,0.4363,STRONG_DOWN,66.35,99.07,26.18,-19.04,57.6,37.15,0.8638,LOW,-,526.175,513.323,383.1983,1,153.6059,CONTENDER,35.9286
86,5,PUCOBRE.SN,Sociedad Punta Del Cobre,copper,producer,large,15944.0,93.83,0.0155,0.1404,0.2545,STRONG_DOWN,146.42,229.35,296.79,-38.3,43.32,95.3,0.0414,LOW,-,15823.55,16627.38,9978.3275,1,104.2537,LEADER,35.4581
93,6,TGB,"ticker
TGB         Taseko Mines
TGB    Taseko Mines Ltd.
Name: name, dtype: object",copper,producer,mid,6.45,87.65,0.0305,-0.0246,0.1869,FLAT,52.48,181.66,194.52,-35.47,50.4,78.82,0.7831,LOW,-,6.5965,7.4632,4.9734,1,116.1588,LEADER,34.0708
99,25,SLS.TO,Solaris Resources,copper,producer,mid,12.01,75.31,0.0418,0.0677,0.1371,STRONG_DOWN,35.25,163.96,157.17,-27.01,51.6,63.34,0.4858,LOW,-,11.942,12.8918,9.6496,1,133.567,LEADER,33.745
100,22,ALS.TO,Altius Minerals,copper,producer,mid,48.93,54.32,0.0606,0.2183,0.2462,STRONG_DOWN,46.9,98.98,142.62,-16.0,56.4,40.77,1.1505,MED,-,44.8872,45.1755,36.7138,1,136.9204,CONTENDER,33.7304
102,6,ATYM.L,Atalaya Mining Copper SA,copper,producer,mid,709.0,62.96,-0.0385,-0.0862,-0.1272,STRONG_UP,10.95,106.73,76.42,-36.5,51.19,57.53,1.346,MED,-,804.85,913.3,696.5363,1,94.9681,CONTENDER,33.6416
114,-28,1258.HK,China Nonferrous Mining,copper,producer,large,11.49,64.2,-0.0615,0.0019,-0.1837,FLAT,-5.04,107.25,87.98,-42.02,55.92,70.62,0.6201,LOW,EARLY,12.202,14.081,12.2983,0,84.9244,LAGGARD,32.4586
117,0,OM.TO,"ticker
OM.TO    Osisko Metals
OM.TO    Osisko Metals
Name: name, dtype: object",copper,explorer,mid,1.25,80.25,0.1369,0.0544,0.6901,FLAT,184.09,165.96,681.25,-34.19,40.0,72.11,1.2247,MED,-,1.186,1.1698,0.6753,1,92.0579,LEADER,32.3374
122,-8,GGP.L,"ticker
GGP.L    Greatland Resources
GGP.L    Greatland Resources
Name: name, dtype: object",copper,producer,mid,591.4,70.37,0.0997,0.0573,0.2153,FLAT,66.12,128.87,384.75,-35.27,53.57,63.26,0.9522,LOW,-,589.78,640.6,438.4153,1,109.13,CONTENDER,31.829
130,-21,2899.HK,Zijin Mining Group H,copper,producer,large,34.36,56.79,-0.0464,-0.0328,0.0524,STRONG_DOWN,15.92,99.44,121.38,-29.52,56.33,55.02,0.9125,LOW,-,36.958,40.2232,31.2989,1,101.8044,CONTENDER,30.3892
136,3,ERO.TO,Ero Copper,copper,producer,mid,37.07,66.67,0.0478,0.0555,-0.0096,FLAT,31.5,110.39,41.92,-36.71,55.2,64.38,0.4915,LOW,-,36.23,41.1888,30.9036,1,94.6459,CONTENDER,29.4922
139,14,NGEX.TO,NGEX Minerals,copper,producer,large,25.3,50.62,-0.0083,0.0487,0.0336,FLAT,-2.5,97.04,189.47,-30.62,57.6,63.73,0.9459,LOW,-,25.116,27.6124,23.7181,1,87.7065,CONTENDER,29.0393
140,-8,KGH.WA,"ticker
KGH.WA            KGHM Polska Miedz
KGH.WA    KGHM Polska Miedz Ord Shs
KGH.WA    KGHM Polska Miedz Ord Shs
Name: name, dtype: object",copper,producer,large,267.9,65.43,-0.0287,0.0686,-0.0102,FLAT,76.25,108.89,130.78,-30.84,53.63,68.28,0.5575,LOW,-,278.07,304.408,209.0887,1,85.5259,CONTENDER,28.9995
143,-2,29M.AX,29Metals,copper,producer,mid,0.345,69.14,-0.0392,0.0587,-0.3643,FLAT,-18.82,122.58,-17.86,-51.91,48.02,85.73,0.4111,LOW,EARLY,0.3618,0.4089,0.4071,0,68.6612,LAGGARD,28.4927
145,-32,1515.T,Nittetsu Mining,copper,producer,large,2482.0,45.68,-0.0816,-0.235,0.1512,FLAT,51.96,93.0,174.6,-44.42,57.61,90.91,0.5515,LOW,-,2899.0647,3352.0032,2125.9967,1,58.9359,LAGGARD,28.2752
147,1,GLAD.V,Gladiator Metals,copper,producer,small,1.225,91.36,-0.0311,-0.0166,0.1294,STRONG_DOWN,25.0,218.18,222.37,-33.33,43.6,88.42,0.4514,LOW,-,1.3313,1.2713,1.033,1,107.5857,LEADER,28.1872
