rank,delta_rank,ticker,name,sector,industry,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
1,0,DTR.AX,Dateline Resources Limited,Non-energy minerals,Precious metals,small,0.425,100.0,0.0137,0.178,0.6436,STRONG_DOWN,-14.14,8400.0,3169.23,-71.54,48.19,118.85,0.532,LOW,-,0.4588,0.386,0.2989,1,3405.9404,LEADER,658.4202
3,-1,G11.AX,G11 Resources Limited,Non-energy minerals,Other metals/Minerals,small,0.3,99.86,0.0754,0.0882,-0.1028,FLAT,1478.95,2400.0,1053.85,-32.05,34.13,69.22,0.3019,LOW,-,0.2977,0.3193,0.1887,1,1183.3574,LEADER,230.418
7,-1,FML.AX,Focus Minerals Ltd,Non-energy minerals,Precious metals,small,2.7,99.14,0.0708,-0.0323,-0.159,STRONG_UP,36.36,1100.0,1400.0,-47.63,48.19,82.11,0.245,LOW,-,2.587,3.1042,2.1271,1,645.5852,LEADER,132.757
8,-1,FRS.AX,Forrestania Resources Limited,Non-energy minerals,Precious metals,small,0.485,99.43,-0.0155,-0.1419,0.3744,FLAT,73.21,1210.81,1920.83,-51.75,50.2,99.41,0.7015,LOW,-,0.4662,0.5337,0.3117,1,611.4345,LEADER,126.8737
9,0,ALR.AX,Altair Minerals limited,Non-energy minerals,Other metals/Minerals,small,0.03,99.71,0.1643,0.3382,0.2981,FLAT,76.47,1400.0,650.0,-37.04,28.51,111.45,5.7699,HIGH,-,0.0229,0.0238,0.0181,1,358.1337,LEADER,96.7054
10,0,A1G.AX,African Gold Ltd,Non-energy minerals,Precious metals,small,1.0,98.28,-0.0109,0.1192,0.6729,STRONG_DOWN,156.41,733.33,2400.0,-37.36,47.79,78.33,0.5673,LOW,-,0.91,0.9083,0.5092,1,447.4148,LEADER,92.0986
11,0,RMI.AX,Resource Minerals International Ltd,Non-energy minerals,Other metals/Minerals,small,0.034,98.43,-0.0063,0.2606,0.4058,STRONG_DOWN,30.77,750.0,61.9,-58.62,27.31,48.38,0.0,LOW,-,0.0308,0.029,0.0248,1,423.3671,LEADER,91.4752
12,0,LKY.AX,Locksley Resources Limited,Non-energy minerals,Precious metals,small,0.185,99.0,0.0855,0.116,-0.0619,FLAT,-61.46,988.24,560.71,-75.97,36.55,90.99,0.2468,LOW,-,0.173,0.1711,0.2567,0,396.9667,LAGGARD,90.7972
13,0,VMM.AX,Viridis Mining and Minerals Limited,Non-energy minerals,Precious metals,small,1.95,97.85,-0.0492,-0.0602,0.4714,FLAT,9.24,680.0,41.3,-58.06,49.4,92.52,0.4873,LOW,-,1.965,2.0352,1.4596,1,363.0783,LEADER,81.3588
16,-1,AII.AX,Almonty Industries Inc. Shs Chess Depository Interests repr 1 shs,Non-energy minerals,Other metals/Minerals,mid,24.67,96.71,0.1441,-0.0872,0.9015,FLAT,110.32,585.28,2249.53,-42.31,53.41,94.62,0.1311,LOW,-,24.079,22.6082,12.7773,1,330.3709,LEADER,76.1189
17,1,KLR.AX,Kaili Resources Limited,Non-energy minerals,Precious metals,small,0.11,99.57,-0.0588,-0.0656,-0.2259,STRONG_UP,-63.93,1275.0,1000.0,-89.81,15.66,70.17,0.0,LOW,-,0.1197,0.1331,0.1929,0,284.5447,LAGGARD,74.807
18,11,MRD.AX,Mount Ridley Mines Limited,Non-energy minerals,Other metals/Minerals,small,0.032,99.28,0.031,0.3682,0.0981,FLAT,966.67,1180.0,966.67,-61.4,27.65,106.58,0.2211,LOW,-,0.0283,0.0294,0.019,1,306.1269,LEADER,73.3387
20,0,G50.AX,G50 Corp Limited,Non-energy minerals,Precious metals,small,0.725,97.28,-0.0009,-0.0222,0.3269,FLAT,26.09,625.0,314.29,-47.15,46.18,89.21,0.2991,LOW,-,0.6305,0.7631,0.5236,1,323.5344,LEADER,72.0399
22,4,MM1.AX,Midas Minerals Limited,Non-energy minerals,Precious metals,small,0.88,96.14,0.0575,0.1297,0.5061,STRONG_DOWN,97.75,551.85,1157.14,-33.65,44.98,75.81,0.8408,LOW,-,0.775,0.812,0.523,1,327.4277,LEADER,69.116
26,-4,LIN.AX,Lindian Resources Limited,Non-energy minerals,Other metals/Minerals,small,0.905,98.0,0.163,0.1467,1.0655,FLAT,151.39,686.96,465.62,-36.3,44.18,105.06,0.955,LOW,-,0.817,0.6285,0.3701,1,288.88,LEADER,64.0671
28,-1,PLS.AX,PLS Group Limited,Non-energy minerals,Other metals/Minerals,large,5.36,91.42,0.0173,0.1821,0.2508,STRONG_DOWN,100.0,278.8,32.35,-30.79,54.22,58.51,,LOW,-,4.89,4.6734,3.3801,1,258.3569,LEADER,60.7259
29,4,SFM.AX,Santa Fe Minerals Ltd.,Non-energy minerals,Precious metals,small,0.28,97.42,-0.0366,-0.123,0.0314,FLAT,14.29,636.84,495.74,-40.58,30.12,82.23,1.3475,MED,-,0.314,0.3135,0.2666,1,233.2687,LEADER,60.5667
30,1,VTM.AX,Victory Metals Limited,Non-energy minerals,Precious metals,small,1.845,94.13,0.132,0.4156,0.7025,STRONG_DOWN,57.69,361.25,668.75,-46.36,46.91,82.39,2.3657,HIGH,-,1.4817,1.3502,1.2612,1,205.6832,LEADER,59.6259
31,-1,SGQ.AX,St. George Mining Ltd.,Non-energy minerals,Other metals/Minerals,small,0.13,96.42,0.0476,0.0168,0.3362,FLAT,13.04,584.21,584.21,-48.48,39.76,92.73,0.366,LOW,-,0.1245,0.1204,0.0918,1,250.4929,LEADER,58.9117
32,-4,MIN.AX,Mineral Resources Limited,Non-energy minerals,Steel,large,57.98,87.84,0.0649,0.0493,0.1137,FLAT,29.8,221.4,-19.51,-30.29,56.22,52.39,0.5724,LOW,-,55.137,55.3144,45.7145,1,237.5822,LEADER,57.4533
33,3,TM1.AX,Terra Metals Limited,Non-energy minerals,Precious metals,small,0.315,98.86,-0.0038,0.1044,1.1981,STRONG_DOWN,85.29,986.21,425.0,-46.49,42.17,174.44,0.3509,LOW,-,0.289,0.337,0.1741,1,238.4106,LEADER,56.9915
35,2,EQR.AX,EQ Resources Limited,Non-energy minerals,Precious metals,small,0.34,98.14,0.0437,0.0597,2.7151,STRONG_DOWN,729.27,709.52,518.18,-42.86,44.98,131.1,0.6583,LOW,-,0.3177,0.275,0.1085,1,243.4354,LEADER,56.2588
38,1,BNZ.AX,Benz Mining Corp. Shs Chess Depository Interests Repr 1 sh,Non-energy minerals,Precious metals,small,2.64,95.99,0.0973,-0.0318,0.7904,FLAT,81.44,528.57,1660.0,-47.53,49.8,114.76,0.4849,LOW,-,2.3728,2.7043,1.6945,1,229.3731,LEADER,54.8214
39,2,MI6.AX,Minerals 260 Limited,Non-energy minerals,Precious metals,small,0.785,96.28,0.1272,0.3343,0.9027,STRONG_DOWN,141.54,582.61,423.33,-34.38,42.57,100.97,0.5927,LOW,-,0.6555,0.5776,0.339,1,245.6339,LEADER,54.6161
40,4,RML.AX,Resolution Minerals Ltd.,Non-energy minerals,Precious metals,small,0.069,98.57,0.4643,0.4682,0.4781,STRONG_DOWN,68.29,885.71,187.5,-66.96,31.73,188.78,2.7277,HIGH,-,0.0523,0.0481,0.0579,1,148.8702,LEADER,53.8974
41,-3,TOR.AX,Torque Metals Ltd.,Non-energy minerals,Precious metals,small,0.51,95.57,0.1503,0.1082,0.8269,FLAT,82.14,500.0,229.03,-36.23,46.59,116.26,1.1612,MED,-,0.4473,0.3606,0.2947,1,200.3699,LEADER,52.6973
42,1,CUF.AX,CuFe Ltd,Non-energy minerals,Steel,small,0.035,97.0,-0.1391,-0.134,0.0981,STRONG_DOWN,105.88,600.0,218.18,-42.0,30.92,88.17,0.0967,LOW,-,0.0383,0.0434,0.0295,1,210.4117,LEADER,49.6184
43,16,ANX.AX,Anax Metals Limited,Non-energy minerals,Other metals/Minerals,small,0.035,97.0,0.2606,0.5466,1.0426,STRONG_DOWN,250.0,600.0,25.0,-60.0,28.92,123.1,1.7834,HIGH,-,0.0258,0.0254,0.0139,1,140.9586,LEADER,49.303
44,1,LTR.AX,Liontown Limited,Non-energy minerals,Other metals/Minerals,mid,1.955,91.27,0.1177,0.2876,0.0518,FLAT,87.08,272.38,50.97,-34.62,51.0,71.9,0.4721,LOW,-,1.6778,1.6984,1.3143,1,193.2049,LEADER,48.1067
46,8,LYC.AX,Lynas Rare Earths Limited,Non-energy minerals,Other metals/Minerals,large,21.77,83.55,0.0859,0.1455,0.6421,STRONG_DOWN,5.73,179.82,253.98,-43.67,54.62,66.26,0.6721,LOW,-,20.225,18.0234,15.0943,1,148.2308,LEADER,45.0456
