rank,delta_rank,ticker,name,commodity,type,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
1,0,AGMR.TO,Silver Mountain Resources,silver,explorer,small,3.86,100.0,0.0423,0.0135,0.2868,FLAT,37.37,6333.33,4725.0,-43.49,49.2,121.52,0.3082,LOW,-,4.452,4.3813,2.8637,1,2564.187,LEADER,495.3247
2,0,2308.TW,Delta Electronics Inc,lithium,producer,large,1415.0,97.5,-0.026,0.1545,0.4761,STRONG_DOWN,69.06,267.39,316.16,-29.7,53.53,55.74,1.0647,MED,-,1380.5,1240.0,863.997,1,256.7891,LEADER,66.7927
3,0,HYMC,Hycroft Mining Holding,gold,explorer,mid,33.22,100.0,-0.0209,-0.0402,0.4311,FLAT,425.63,854.6,1430.88,-46.18,55.2,177.06,0.4289,LOW,-,41.4842,40.6051,16.2147,1,266.4283,LEADER,66.699
4,0,OGC.TO,Oceanagold Corp,gold,explorer,large,42.26,89.52,0.0178,-0.001,0.1379,FLAT,44.01,212.03,398.39,-30.1,58.0,61.99,1.0028,MED,-,49.8153,49.5238,33.6278,1,198.3831,LEADER,55.9351
5,0,2099.HK,China Gold International Resources,copper,producer,large,150.6,91.25,-0.0207,-0.0154,0.035,STRONG_DOWN,15.14,189.48,206.85,-40.87,54.69,67.33,2.0269,HIGH,-,175.41,188.816,132.4852,1,153.9059,LEADER,55.2849
6,0,ARE.TO,Aecon Group,uranium,producer,mid,42.46,85.25,0.0574,0.3199,0.2591,FLAT,91.03,145.24,177.79,-21.01,56.0,36.05,1.0063,MED,-,40.377,37.4378,27.4016,1,225.6154,LEADER,55.272
7,0,5802.T,Sumitomo Electric Industries,lithium,producer,large,9502.0,95.0,0.0084,0.045,0.4708,STRONG_DOWN,129.97,253.35,329.57,-35.69,56.79,66.76,0.92,LOW,-,10079.85,8498.9,5501.3853,1,215.5182,LEADER,54.7749
8,0,047040.KS,Daewoo Eng & Co,uranium,producer,large,16400.0,100.0,0.1614,1.3707,3.3385,STRONG_DOWN,333.86,398.48,337.33,-27.11,49.79,116.41,3.1746,HIGH,-,11476.0,7828.0,4838.175,1,170.4349,LEADER,53.9251
9,0,SCZ.V,Santacruz Silver Mining,silver,producer,mid,10.71,96.43,0.0544,-0.06,-0.0146,FLAT,6.25,395.83,1064.13,-57.28,49.2,104.32,0.7806,LOW,-,13.3535,15.258,9.8775,1,186.6852,LEADER,53.5725
10,0,DSV.TO,Discovery Silver Corp,silver,producer,large,8.09,92.86,0.0792,0.0561,0.0265,STRONG_UP,63.1,298.52,1072.46,-36.96,54.0,83.07,0.8273,LOW,-,9.433,9.8498,6.3631,1,194.0556,LEADER,53.2678
11,0,FRES.L,"ticker
FRES.L    Fresnillo Ord Shs
FRES.L    Fresnillo Ord Shs
Name: name, dtype: str",gold,producer,large,3200.0,92.38,0.0259,0.0467,0.0622,STRONG_DOWN,40.85,240.44,608.47,-31.03,55.16,62.53,0.4299,LOW,-,3616.3,3783.76,2572.0698,1,212.0977,LEADER,52.3732
12,0,MAU.TO,Montage Gold,gold,explorer,mid,12.78,96.19,-0.0241,0.0291,0.3712,STRONG_DOWN,82.57,304.43,983.05,-25.76,53.6,70.26,0.6395,LOW,-,14.883,13.8388,8.2757,1,232.2441,LEADER,52.0689
13,0,ARIS,Aris Mining Corp,gold,producer,mid,16.73,94.29,0.0105,0.0334,0.0805,STRONG_DOWN,77.6,258.24,399.4,-28.97,61.2,69.27,0.644,LOW,-,19.4295,19.3392,12.3529,1,228.1585,LEADER,52.0681
14,0,GEV,GE Vernova Inc,lithium,producer,large,909.41,87.5,0.0702,0.1046,0.3435,STRONG_DOWN,43.83,171.3,595.46,-19.25,55.2,40.97,0.8466,LOW,-,849.6062,785.416,643.7061,1,230.7932,LEADER,51.1612
15,0,APM.TO,Andean Precious Metals,gold,producer,mid,6.35,95.24,-0.0239,-0.1272,-0.2816,STRONG_UP,-13.72,284.85,683.95,-51.34,54.4,85.71,0.6637,LOW,EARLY,8.401,9.2292,7.0459,0,180.7929,LAGGARD,50.5339
16,0,000720.KS,Hyundai En & Co,uranium,producer,large,149900.0,96.72,-0.061,0.2911,1.0353,STRONG_DOWN,155.37,330.13,357.5,-32.92,51.04,86.25,0.8561,LOW,-,154705.0,125778.0,81254.5,1,195.3599,LEADER,50.4048
17,0,034020.KS,Doosan Enerbility,uranium,producer,large,100100.0,95.08,-0.0093,0.1654,0.2439,STRONG_DOWN,64.1,277.02,478.61,-24.79,53.11,71.65,0.7271,LOW,-,101220.0,96074.0,75317.0,1,205.3422,LEADER,49.0727
18,0,UUUU,Energy Fuels Inc,uranium,producer,mid,18.06,98.36,0.0238,-0.0273,0.1149,FLAT,8.34,332.06,200.0,-51.28,52.4,102.81,0.7723,LOW,-,19.9355,21.3156,15.1516,1,169.2424,LEADER,48.6467
19,0,PAF.L,Pan African Resources,gold,producer,mid,128.6,87.62,-0.0294,-0.023,0.1374,STRONG_DOWN,51.15,208.82,530.68,-31.51,59.92,61.38,0.4736,LOW,-,155.0567,147.3517,96.9239,1,203.8571,LEADER,48.0702
20,0,III.TO,Imperial Metals,copper,producer,mid,7.5,93.75,0.0235,-0.0385,-0.1737,STRONG_UP,41.78,200.0,250.47,-47.46,54.0,65.96,0.5552,LOW,-,8.854,10.44,7.2255,1,163.7356,LEADER,46.9801
21,0,1208.HK,MMG Ltd.,copper,producer,large,7.65,87.5,-0.0347,-0.0232,-0.0249,FLAT,37.1,155.0,145.98,-37.38,57.14,64.46,1.2464,MED,-,8.9925,9.6054,6.738,1,137.3984,LEADER,46.3731
22,0,FDY.TO,Faraday Copper,copper,explorer,mid,3.8,100.0,-0.0064,0.0387,0.5467,STRONG_DOWN,173.38,322.22,544.07,-33.95,48.0,85.91,0.9877,LOW,-,4.661,3.845,2.188,1,180.0334,LEADER,44.9645
23,0,MIN.AX,MINERAL RESOURCES LTD,lithium,producer,large,52.93,67.5,-0.0171,-0.012,-0.0952,FLAT,30.47,119.81,-24.06,-43.04,55.16,46.17,0.8961,LOW,-,56.0485,56.5158,43.8492,1,143.1376,CONTENDER,43.8519
24,0,HL,Hecla Mining Co,silver,producer,large,17.93,82.14,0.0218,0.0586,0.0072,FLAT,60.6,208.11,324.41,-45.79,54.0,85.18,0.6062,LOW,-,20.7487,23.1534,14.3498,1,131.9286,LEADER,43.8452
25,0,PLS.AX,PLS GROUP LTD,lithium,producer,large,4.54,75.0,-0.0028,0.0321,0.0997,STRONG_DOWN,88.38,147.41,17.01,-38.65,51.98,59.54,1.0099,MED,-,4.7205,4.6044,3.1664,1,128.6941,LEADER,43.8083
26,0,0358.HK,Jiangxi Copper H,copper,producer,large,35.4,90.0,-0.0244,0.0164,0.0622,STRONG_DOWN,38.92,165.56,195.0,-35.27,54.29,57.55,0.7376,LOW,-,40.48,43.4844,29.8724,1,156.184,LEADER,43.515
27,0,USAS,Americas Gold & Silver,gold,producer,mid,5.81,97.14,-0.0505,-0.0816,0.0729,FLAT,83.28,307.72,956.36,-46.36,50.4,106.41,0.75,LOW,-,7.922,7.7334,4.5324,1,145.7481,LEADER,42.9618
28,0,KCN.AX,"ticker
KCN.AX    Kingsgate Consolidated Ord Shs
KCN.AX    Kingsgate Consolidated Ord Shs
Name: name, dtype: str",silver,producer,mid,4.36,78.57,-0.2682,-0.012,-0.0698,FLAT,26.28,205.68,272.47,-40.36,55.95,74.58,0.8726,LOW,-,6.2188,6.0744,4.1626,1,154.3047,LEADER,42.2303
29,0,IAG,Iamgold Corp,gold,producer,large,17.02,82.86,0.014,-0.006,0.0461,FLAT,41.72,181.79,450.81,-34.6,60.8,76.24,0.6939,LOW,-,20.7565,20.3988,13.5042,1,144.9727,LEADER,42.1442
30,0,3939.HK,"ticker
3939.HK    Wanguo Gold Group
3939.HK       Wanguo Gold GP
Name: name, dtype: str",gold,producer,large,12.06,88.57,-0.1047,-0.0472,0.7284,STRONG_DOWN,42.05,211.74,589.09,-40.16,51.02,94.22,1.3669,MED,-,15.397,14.5456,9.7125,1,114.6564,LEADER,42.1238
31,0,SBSW,"ticker
SBSW    Sibanye Gold ADR
SBSW    Sibanye Gold ADR
Name: name, dtype: str",palladium,producer,large,11.47,62.5,0.0461,0.0205,0.0002,STRONG_UP,14.48,172.58,158.27,-45.14,57.2,80.37,0.6793,LOW,-,13.6853,15.5528,11.3614,1,122.8293,CONTENDER,41.9708
32,0,EDV.L,Endeavour Mining,gold,producer,large,4128.0,71.43,-0.0007,0.0832,0.1195,STRONG_DOWN,35.01,133.05,181.86,-24.49,59.52,53.32,1.1566,MED,-,4617.6673,4490.2315,3327.5683,1,148.5162,CONTENDER,41.5552
33,0,LAR.TO,LITHIUM ARGENTINA AG,lithium,producer,mid,9.71,92.5,0.1627,-0.031,0.2536,FLAT,119.19,198.77,43.85,-32.65,50.0,83.43,2.2112,HIGH,-,9.4885,9.9456,6.447,1,119.1234,LEADER,41.5412
34,0,ENR.DE,Siemens Energy AG,lithium,producer,large,151.5,80.0,0.0069,-0.0194,0.2338,FLAT,57.73,155.11,818.76,-19.97,51.98,47.75,0.9668,LOW,-,153.7315,150.7032,113.9066,1,168.8478,LEADER,40.948
35,0,DPM.TO,Dundee Precious Metals,gold,explorer,large,43.47,73.33,0.034,0.0282,0.0683,FLAT,37.78,133.37,353.61,-29.52,57.2,59.6,1.1091,MED,-,51.588,50.9888,35.2655,1,128.0012,CONTENDER,40.4803
36,0,SAG.V,Sterling Metals,copper,producer,small,1.55,98.75,0.0607,0.1562,-0.12,FLAT,118.31,307.89,210.0,-50.0,35.2,71.36,0.1717,LOW,-,1.7435,1.7246,1.2869,1,151.8763,LEADER,40.4405
37,0,PZG,Paramount Gold Nevada Ord Shs,gold,producer,small,1.64,99.05,-0.0365,-0.1337,0.443,FLAT,37.82,337.33,304.94,-40.82,48.8,103.34,0.4914,LOW,-,2.1625,2.0084,1.2277,1,159.2981,LEADER,40.3578
38,0,RSG.AX,Resolute Mining,gold,producer,mid,1.25,83.81,-0.051,0.1492,0.0529,FLAT,30.21,184.09,233.33,-31.25,52.38,61.84,0.849,LOW,-,1.4235,1.3921,1.0189,1,155.9295,LEADER,40.0475
39,0,FF.TO,First Mining Gold,gold,explorer,mid,0.46,93.33,0.0413,0.0072,-0.0777,STRONG_UP,58.62,240.74,283.33,-50.62,43.6,87.86,0.7691,LOW,-,0.5455,0.6008,0.3731,1,119.4662,LEADER,39.9103
40,0,LUG.TO,Lundin Gold Inc,gold,producer,large,97.01,75.24,0.0019,0.0794,-0.1134,FLAT,10.4,136.41,469.86,-25.15,58.8,61.46,1.0957,MED,-,111.1165,111.2292,94.2794,1,130.5049,LEADER,39.7994
41,0,MAH.AX,Machahon Holdings,gold,royalties_financial_services,mid,0.7,80.95,0.1555,0.1467,0.1366,STRONG_UP,65.21,174.13,251.1,-22.01,44.44,54.88,1.2579,MED,-,0.6695,0.6804,0.4969,1,141.0007,LEADER,39.563
42,0,EUR.AX,EUROPEAN LITHIUM LTD,lithium,producer,small,0.22,100.0,-0.0939,0.0064,0.3425,STRONG_DOWN,144.44,423.81,205.56,-67.74,39.68,129.67,0.3843,LOW,-,0.2432,0.2477,0.168,1,129.6889,LEADER,39.22
