rank,delta_rank,ticker,name,sector,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
1,0,G11.AX,G11 Resources Limited,Gold,small,0.305,100.0,-0.0377,0.0504,0.0988,STRONG_DOWN,45.24,2078.57,643.9,-32.05,34.39,67.92,0.1768,LOW,-,0.3308,0.3156,0.2296,1,1052.4451,LEADER,204.8015
2,0,A1G.AX,African Gold Limited,Gold,small,1.04,98.65,0.0658,0.1863,0.4286,STRONG_DOWN,240.98,804.35,3486.21,-37.36,47.08,73.54,0.0,LOW,-,1.024,0.9613,0.5675,1,514.9401,LEADER,104.5091
3,0,TM1.AX,Terra Metals Limited,Gold,small,0.295,99.32,0.0174,-0.1163,-0.141,STRONG_UP,107.02,992.59,446.3,-46.49,43.48,97.31,0.5504,LOW,-,0.3155,0.304,0.2091,1,443.5096,LEADER,95.7523
4,0,DGR.AX,DGR Global Limited,Gold,small,0.028,97.97,0.0658,0.0005,0.1259,FLAT,33.33,600.0,75.0,-40.0,26.88,82.25,0.0,LOW,-,0.0287,0.0306,0.0266,1,196.0851,LEADER,47.5607
5,0,DTR.AX,Dateline Resources Limited,Gold,mid,0.2,95.27,-0.0045,-0.1887,-0.1767,FLAT,-28.57,284.62,1566.67,-71.54,47.04,108.34,0.3851,LOW,EARLY,0.2297,0.3469,0.319,0,123.5768,LAGGARD,44.7225
6,0,FAL.AX,Falcon Metals Limited,Gold,small,0.545,96.62,-0.0339,0.1066,-0.131,FLAT,-6.84,319.23,263.33,-61.21,41.5,108.5,1.6892,HIGH,-,0.5223,0.5278,0.6709,0,122.1021,LAGGARD,44.3154
7,-2,AQI.AX,Alicanto Minerals Limited,Gold,small,1.56,97.3,0.0348,0.0343,0.0082,STRONG_UP,202.33,381.48,516.6,-47.03,40.32,96.16,0.6676,LOW,-,1.5827,1.611,1.1609,1,159.9556,LEADER,42.545
8,-1,KCN.AX,Kingsgate Consolidated Limited,Gold,mid,5.93,91.22,-0.0716,0.1304,0.1909,STRONG_DOWN,41.18,213.98,220.67,-43.14,55.73,83.81,0.2421,LOW,-,6.3725,5.7381,4.8025,1,142.2905,LEADER,40.174
9,2,NEM.AX,Newmont Corporation,Gold,large,153.43,73.65,-0.0116,0.0647,0.0442,FLAT,14.04,97.62,136.7,-29.94,57.31,51.19,1.0996,MED,-,157.249,156.795,144.265,1,109.2938,CONTENDER,36.7714
10,2,WGX.AX,Westgold Resources Limited,Gold,large,5.21,77.03,-0.0159,-0.0927,-0.1033,STRONG_UP,-8.76,105.16,132.51,-37.64,52.17,62.99,1.1697,MED,EARLY,5.65,5.91,5.6369,0,87.0938,LAGGARD,35.9577
