rank,delta_rank,ticker,name,sector,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
1,0,G11.AX,G11 Resources Limited,Gold,small,0.34,100.0,-0.0294,0.0903,0.1998,STRONG_DOWN,47.83,2025.0,996.77,-32.05,34.84,68.57,0.1883,LOW,-,0.3358,0.318,0.2238,1,1028.8901,LEADER,200.3728
2,1,A1G.AX,African Gold Limited,Gold,small,1.04,98.69,-0.0294,0.1168,0.4056,STRONG_DOWN,240.98,732.0,4060.0,-37.36,46.94,73.54,0.0,LOW,-,1.024,0.9613,0.5675,1,467.2298,LEADER,95.6602
3,-1,TM1.AX,Terra Metals Limited,Gold,small,0.285,99.35,-0.1525,0.0105,-0.075,FLAT,103.57,955.56,470.0,-46.49,43.48,103.3,0.5196,LOW,-,0.325,0.3106,0.2035,1,402.2028,LEADER,87.2843
4,0,DTR.AX,Dateline Resources Limited,Gold,mid,0.22,98.04,-0.0729,-0.4222,-0.157,FLAT,-24.14,658.62,1900.0,-71.54,47.83,108.29,0.9313,LOW,EARLY,0.2627,0.3653,0.317,0,290.9025,LAGGARD,76.2445
5,0,DGR.AX,DGR Global Limited,Gold,small,0.027,97.39,-0.0294,-0.1013,0.0373,FLAT,50.0,575.0,80.0,-40.0,26.48,83.01,1.7944,HIGH,-,0.0296,0.0309,0.0261,1,183.4237,LEADER,55.2171
6,0,KCN.AX,Kingsgate Consolidated Limited,Gold,mid,6.62,91.5,-0.0078,0.2583,0.3391,STRONG_DOWN,49.22,234.82,,-43.14,55.73,81.06,0.5906,LOW,-,6.226,5.7984,4.7021,1,161.4453,LEADER,43.7019
7,4,PDI.AX,Predictive Discovery Limited,Gold,mid,1.015,88.24,0.1064,0.1019,0.2714,FLAT,82.88,185.92,407.5,-30.85,49.01,66.3,1.0823,MED,-,0.9455,0.8878,0.6876,1,137.4317,LEADER,40.7399
8,6,USL.AX,Unico Silver Limited,Gold,small,0.78,92.16,0.2724,0.2371,0.0288,STRONG_UP,24.8,271.43,420.0,-50.88,45.45,98.49,1.3061,MED,-,0.658,0.6989,0.6691,1,125.2556,LEADER,40.6105
9,-2,FAL.AX,Falcon Metals Limited,Gold,small,0.505,96.08,0.003,0.0278,-0.2234,FLAT,-21.09,339.13,236.67,-61.21,41.9,100.06,0.9455,LOW,-,0.5105,0.5416,0.6685,0,142.0104,LAGGARD,39.9071
10,11,BCM.AX,Brazilian Critical Minerals Limited,Gold,small,0.039,95.42,0.2304,0.4722,0.2844,FLAT,34.48,333.33,62.5,-50.0,36.76,117.52,2.4606,HIGH,-,0.0322,0.0314,0.0281,1,104.2659,LEADER,39.0088
11,-1,ERM.AX,Emmerson Resources Limited,Gold,small,0.415,89.54,0.079,0.0159,0.5207,FLAT,38.33,196.43,683.02,-23.81,44.66,69.13,1.6893,HIGH,-,0.4012,0.388,0.2929,1,126.8986,LEADER,37.5813
12,-3,TOR.AX,Torque Metals Limited,Gold,small,0.435,96.73,-0.0519,-0.1022,0.6909,FLAT,81.25,357.89,163.64,-36.23,45.45,112.51,0.8468,LOW,-,0.4805,0.4491,0.3282,1,144.5766,LEADER,36.8838
