rank,ticker,name,sector,cap_band,close,ret_period,bench_ret,rs_vs_bench,rs_5d,rs_21d,rs_trend,max_dd_period,bench_dd,dd_vs_bench,current_dd,peer_rs_score,vol_label,rel_vol,acc_watch,pass_trend,score,period_label,period_start,trading_days
1,DTR.AX,Dateline Resources Limited,Gold,mid,0.555,81.97,-13.9,95.87,11.5,74.4,STRONG_DOWN,-19.28,-30.84,11.56,0.0,100.0,HIGH,1.8009,-,1,64.88,gold_peak,2026-02-15,28
2,HMG.AX,Hamelin Gold Limited,Gold,small,0.12,57.89,-13.9,71.79,-11.82,2.35,STRONG_DOWN,-36.11,-30.84,-5.27,-33.33,98.68,LOW,0.0161,-,1,59.901,gold_peak,2026-02-15,28
3,EM3.AX,EMC Gold Corporation,Gold,small,0.2,48.15,-13.9,62.05,24.91,47.35,STRONG_DOWN,-46.43,-30.84,-15.59,-28.57,98.03,LOW,0.7276,-,0,58.906,gold_peak,2026-02-15,28
4,TOR.AX,Torque Metals Limited,Gold,small,0.42,61.54,-13.9,75.44,-4.13,64.72,STRONG_DOWN,-26.0,-30.84,4.84,-16.0,99.34,MED,1.2224,-,1,58.526,gold_peak,2026-02-15,28
5,BEZ.AX,Besra Gold Inc,Gold,small,0.105,38.16,-13.9,52.06,-4.13,-7.65,FLAT,-33.33,-30.84,-2.49,-30.0,97.37,LOW,0.2171,-,1,50.782,gold_peak,2026-02-15,28
6,R8R.AX,Regener8 Resources NL,Gold,small,0.165,37.5,-13.9,51.4,-1.0,72.35,FLAT,-21.05,-30.84,9.79,-13.16,96.71,LOW,0.0,-,1,46.636,gold_peak,2026-02-15,28
7,DMG.AX,Dragon Mountain Gold,Gold,small,0.007,16.67,-13.9,30.57,-26.35,-19.32,STRONG_DOWN,-50.0,-30.84,-19.16,-50.0,93.42,LOW,0.4201,-,0,46.002,gold_peak,2026-02-15,28
8,VKA.AX,Viking Mines Limited,Gold,small,0.014,12.0,-13.9,25.9,-16.63,9.85,STRONG_DOWN,-43.48,-30.84,-12.64,-39.13,92.11,LOW,0.5996,-,1,41.785,gold_peak,2026-02-15,28
9,AAU.AX,Antilles Gold Limited,Gold,small,0.013,18.18,-13.9,32.08,-4.13,9.01,STRONG_DOWN,-29.41,-30.84,1.43,-23.53,94.08,MED,1.189,-,1,40.627,gold_peak,2026-02-15,28
10,ERM.AX,Emmerson Resources Limited,Gold,small,0.365,19.67,-13.9,33.57,-5.48,22.35,STRONG_DOWN,-23.81,-30.84,7.03,-13.1,95.39,HIGH,1.6897,-,1,39.936,gold_peak,2026-02-15,28
11,AWJ.AX,Auric Mining Limited,Gold,small,0.34,15.25,-13.9,29.15,-5.57,45.98,FLAT,-29.11,-30.84,1.73,-13.92,92.76,LOW,0.8943,-,1,38.969,gold_peak,2026-02-15,28
12,VTM.AX,Victory Metals Limited,Gold,small,1.475,18.95,-13.9,32.85,1.61,39.41,FLAT,-16.29,-30.84,14.55,-4.53,94.74,MED,1.0194,-,1,37.197,gold_peak,2026-02-15,28
13,TOK.AX,Tolu Minerals Limited,Gold,small,1.6,21.67,-13.9,35.57,14.39,48.83,FLAT,-10.28,-30.84,20.56,0.0,96.05,LOW,0.4946,-,1,36.875,gold_peak,2026-02-15,28
14,AS1.AX,Asara Resources Limited,Gold,small,0.125,8.7,-13.9,22.6,-4.13,8.55,STRONG_DOWN,-32.26,-30.84,-1.42,-19.35,90.79,LOW,0.2022,-,1,36.703,gold_peak,2026-02-15,28
15,ODY.AX,Odyssey Gold Limited,Gold,small,0.032,3.23,-13.9,17.13,6.22,13.77,STRONG_DOWN,-40.91,-30.84,-10.07,-27.27,88.82,HIGH,2.6494,-,1,36.519,gold_peak,2026-02-15,28
16,HRN.AX,Horizon Gold Limited,Gold,small,1.32,10.92,-13.9,24.82,-5.25,24.44,STRONG_DOWN,-21.68,-30.84,9.16,-14.56,91.45,LOW,0.3784,-,1,34.615,gold_peak,2026-02-15,28
17,GMN.AX,Gold Mountain Limited,Gold,small,0.1,-4.76,-13.9,9.14,-8.89,-20.51,FLAT,-50.0,-30.84,-19.16,-44.44,81.58,LOW,0.6482,-,1,33.878,gold_peak,2026-02-15,28
18,AVW.AX,Avira Resources Limited,Gold,small,0.01,0.0,-13.9,13.9,-13.22,-10.99,STRONG_DOWN,-37.5,-30.84,-6.66,-37.5,84.21,LOW,0.3657,-,0,32.821,gold_peak,2026-02-15,28
19,TMX.AX,Terrain Minerals Limited,Gold,small,0.005,0.0,-13.9,13.9,20.87,22.35,FLAT,-33.33,-30.84,-2.49,-16.67,84.21,LOW,0.6839,-,1,31.57,gold_peak,2026-02-15,28
20,GUL.AX,Gullewa Limited,Gold,small,0.1,7.53,-13.9,21.43,-4.13,22.35,FLAT,-12.73,-30.84,18.11,-9.09,90.13,LOW,0.0836,-,1,30.178,gold_peak,2026-02-15,28
21,LRM.AX,Lion Rock Minerals Ltd,Gold,small,0.024,4.35,-13.9,18.25,-4.13,26.69,FLAT,-17.39,-30.84,13.45,-4.0,89.47,LOW,0.2999,-,0,30.106,gold_peak,2026-02-15,28
22,LAT.AX,Latitude 66 Limited,Gold,small,0.135,-6.9,-13.9,7.0,-7.7,-6.6,STRONG_DOWN,-41.46,-30.84,-10.62,-34.15,77.63,LOW,0.2781,-,1,29.275,gold_peak,2026-02-15,28
23,RTG.AX,RTG Mining Inc.,Gold,small,0.038,0.0,-13.9,13.9,7.64,18.55,FLAT,-23.81,-30.84,7.03,-9.52,84.21,LOW,0.4385,-,1,28.714,gold_peak,2026-02-15,28
24,A1G.AX,African Gold Limited,Gold,small,0.85,-3.41,-13.9,10.49,-4.71,7.35,STRONG_DOWN,-28.84,-30.84,2.0,-20.93,82.89,LOW,0.6069,-,1,28.463,gold_peak,2026-02-15,28
25,DGR.AX,DGR Global Limited,Gold,small,0.03,0.0,-13.9,13.9,-7.35,13.26,STRONG_DOWN,-20.0,-30.84,10.84,-14.29,84.21,LOW,0.6152,-,1,27.571,gold_peak,2026-02-15,28
26,FFM.AX,FireFly Metals Ltd,Gold,mid,1.685,-8.17,-13.9,5.73,3.54,3.36,FLAT,-34.4,-30.84,-3.56,-22.71,73.68,MED,1.151,-,1,25.464,gold_peak,2026-02-15,28
27,MLS.AX,Metals Australia Limited,Gold,small,0.021,0.0,-13.9,13.9,-8.67,17.8,FLAT,-12.5,-30.84,18.34,-12.5,84.21,LOW,0.0,-,0,25.321,gold_peak,2026-02-15,28
28,MOH.AX,Moho Resources Limited,Gold,small,0.0075,-6.25,-13.9,7.65,3.02,29.49,FLAT,-25.0,-30.84,5.84,-6.25,79.61,HIGH,1.9236,-,1,25.191,gold_peak,2026-02-15,28
29,RSG.AX,Resolute Mining Limited,Gold,mid,1.345,-6.6,-13.9,7.3,-1.45,13.84,FLAT,-25.61,-30.84,5.23,-17.99,78.95,LOW,0.8736,-,1,25.036,gold_peak,2026-02-15,28
30,CTO.AX,Citigold Corporation Limited,Gold,small,0.017,-5.56,-13.9,8.34,-9.68,11.82,FLAT,-21.05,-30.84,9.79,-10.53,80.92,LOW,0.0564,-,1,24.675,gold_peak,2026-02-15,28
31,MM8.AX,Medallion Metals Limited,Gold,small,0.38,-8.43,-13.9,5.47,-4.13,9.7,FLAT,-30.53,-30.84,0.31,-20.0,73.03,LOW,0.3807,-,0,24.004,gold_peak,2026-02-15,28
32,OLY.AX,Olympio Metals Limited,Gold,small,0.06,-7.69,-13.9,6.21,-7.35,10.58,FLAT,-25.35,-30.84,5.49,-15.49,76.32,LOW,0.0273,-,0,23.733,gold_peak,2026-02-15,28
33,AA2.AX,Ariana Resources plc,Gold,small,0.34,-6.85,-13.9,7.05,-14.65,14.24,FLAT,-21.43,-30.84,9.41,-19.05,78.29,LOW,0.2274,-,0,23.484,gold_peak,2026-02-15,28
34,NSM.AX,North Stawell Minerals Limited,Gold,small,0.028,-3.45,-13.9,10.45,-10.79,18.9,FLAT,-12.5,-30.84,18.34,-12.5,82.24,LOW,0.1863,-,0,23.35,gold_peak,2026-02-15,28
35,AGC.AX,Australian Gold and Copper Ltd,Gold,small,0.205,-10.87,-13.9,3.03,6.69,9.58,FLAT,-36.73,-30.84,-5.89,-16.33,67.76,LOW,0.8916,-,1,23.307,gold_peak,2026-02-15,28
36,DPM.AX,DPM Metals Inc.,Gold,large,47.32,-9.0,-13.9,4.9,-0.33,3.6,STRONG_DOWN,-30.84,-30.84,0.0,-22.43,71.05,HIGH,2.7506,-,0,23.275,gold_peak,2026-02-15,28
37,TRE.AX,Toubani Resources Inc,Gold,small,0.42,-7.69,-13.9,6.21,-4.13,9.85,FLAT,-23.23,-30.84,7.61,-15.15,76.32,LOW,0.6129,-,1,23.097,gold_peak,2026-02-15,28
38,TCG.AX,Turaco Gold Limited,Gold,mid,0.605,-10.37,-13.9,3.53,-6.54,5.79,FLAT,-31.45,-30.84,-0.61,-23.9,69.74,MED,1.0345,-,1,22.517,gold_peak,2026-02-15,28
39,YRL.AX,Yandal Resources Limited,Gold,small,0.2,-6.98,-13.9,6.92,-4.13,15.37,FLAT,-19.15,-30.84,11.69,-14.89,76.97,LOW,0.1944,-,0,22.352,gold_peak,2026-02-15,28
40,TAM.AX,Tanami Gold NL,Gold,small,0.093,-11.43,-13.9,2.47,-7.25,22.35,FLAT,-34.4,-30.84,-3.56,-25.6,65.13,LOW,0.6827,-,1,21.595,gold_peak,2026-02-15,28
41,CLZ.AX,Classic Minerals Limited,Gold,small,0.001,0.0,-13.9,13.9,-4.13,22.35,FLAT,0.0,-30.84,30.84,0.0,84.21,LOW,,-,1,21.571,gold_peak,2026-02-15,28
42,GCR.AX,Golden Cross Resources Ltd,Gold,small,0.002,0.0,-13.9,13.9,-4.13,22.35,FLAT,0.0,-30.84,30.84,0.0,84.21,LOW,,-,1,21.571,gold_peak,2026-02-15,28
43,ATM.AX,Aneka Tambang (Persero) Tbk,Gold,large,0.995,-1.0,-13.9,12.9,-4.13,22.35,FLAT,-1.49,-30.84,29.35,-1.49,83.55,LOW,0.0,PROGRESS,0,21.42,gold_peak,2026-02-15,28
44,AUC.AX,Ausgold Limited,Gold,small,0.89,-12.32,-13.9,1.58,-9.44,4.0,FLAT,-38.27,-30.84,-7.43,-26.75,61.84,LOW,0.6259,-,0,21.413,gold_peak,2026-02-15,28
45,TBR.AX,Tribune Resources Ltd,Gold,small,5.69,-8.08,-13.9,5.82,4.46,11.95,FLAT,-19.01,-30.84,11.83,-12.06,74.34,LOW,0.4649,-,0,21.081,gold_peak,2026-02-15,28
46,RXR.AX,Robex Resources Inc.,Gold,mid,5.98,-11.14,-13.9,2.76,-7.67,2.08,STRONG_DOWN,-29.77,-30.84,1.07,-24.87,66.45,LOW,0.4051,-,1,20.718,gold_peak,2026-02-15,28
47,PRX.AX,Prodigy Gold NL,Gold,small,0.06,-7.69,-13.9,6.21,-4.13,14.65,FLAT,-15.15,-30.84,15.69,-9.09,76.32,LOW,0.1842,-,1,20.673,gold_peak,2026-02-15,28
48,TSO.AX,Tesoro Gold Limited,Gold,small,0.955,-9.48,-13.9,4.42,-4.13,10.36,FLAT,-23.29,-30.84,7.55,-12.79,70.39,LOW,0.1681,-,1,20.62,gold_peak,2026-02-15,28
49,DTM.AX,Dart Mining NL,Gold,small,0.032,-8.57,-13.9,5.33,-12.7,2.35,STRONG_DOWN,-20.0,-30.84,10.84,-20.0,72.37,LOW,0.1041,-,0,20.591,gold_peak,2026-02-15,28
50,STK.AX,Strickland Metals Limited,Gold,mid,0.2,-11.11,-13.9,2.79,6.99,9.3,FLAT,-28.57,-30.84,2.27,-18.37,67.11,LOW,0.6726,-,1,20.568,gold_peak,2026-02-15,28
51,KNB.AX,Koonenberry Gold Limited,Gold,small,0.025,-10.71,-13.9,3.19,0.04,8.55,FLAT,-26.67,-30.84,4.17,-16.67,68.42,LOW,0.4243,-,0,20.551,gold_peak,2026-02-15,28
52,FXG.AX,Felix Gold Limited,Gold,small,0.28,-12.5,-13.9,1.4,20.32,7.19,STRONG_UP,-35.71,-30.84,-4.87,-20.0,61.18,LOW,0.7159,-,0,20.375,gold_peak,2026-02-15,28
53,OZZ.AX,OZZ Resources Limited,Gold,small,0.0516,-6.09,-13.9,7.81,-4.12,16.26,FLAT,-6.1,-30.84,24.74,-6.09,80.26,LOW,,-,0,19.78,gold_peak,2026-02-15,28
54,MHC.AX,Manhattan Gold Corporation Limited,Gold,small,0.022,-12.0,-13.9,1.9,-12.46,14.01,FLAT,-30.0,-30.84,0.84,-26.67,63.16,LOW,0.4753,-,0,19.456,gold_peak,2026-02-15,28
55,GG1.AX,Green & Gold Minerals Limited,Gold,small,0.15,-11.76,-13.9,2.14,-4.13,8.06,FLAT,-28.21,-30.84,2.63,-23.08,63.82,HIGH,3.6085,-,0,19.213,gold_peak,2026-02-15,28
56,MAN.AX,Mandrake Resources Limited,Gold,small,0.021,-8.7,-13.9,5.2,-12.82,13.65,FLAT,-16.0,-30.84,14.84,-16.0,71.71,MED,1.3198,-,0,19.141,gold_peak,2026-02-15,28
57,GBM.AX,GBM Resources Limited,Gold,small,0.029,-12.12,-13.9,1.78,7.41,2.9,STRONG_UP,-29.73,-30.84,1.11,-21.62,62.5,LOW,0.6965,-,0,19.129,gold_peak,2026-02-15,28
58,ORE.AX,Orezone Gold Corporation,Gold,mid,2.25,-12.79,-13.9,1.11,2.01,3.87,FLAT,-33.8,-30.84,-2.96,-21.6,59.21,HIGH,2.9685,-,0,19.095,gold_peak,2026-02-15,28
59,PRU.AX,Perseus Mining Limited,Gold,large,5.02,-11.48,-13.9,2.42,1.34,6.03,FLAT,-26.76,-30.84,4.08,-19.38,64.47,MED,1.1339,-,1,19.085,gold_peak,2026-02-15,28
60,NAG.AX,Nagambie Resources Limited,Gold,small,0.013,-13.33,-13.9,0.57,4.21,3.6,STRONG_UP,-35.29,-30.84,-4.45,-23.53,56.58,LOW,0.0668,-,0,18.537,gold_peak,2026-02-15,28
61,KAL.AX,Kalgoorlie Gold Mining Limited,Gold,small,0.042,-12.5,-13.9,1.4,6.4,17.8,FLAT,-29.17,-30.84,1.67,-12.5,60.53,LOW,0.7725,-,0,18.218,gold_peak,2026-02-15,28
62,PDI.AX,Predictive Discovery Limited,Gold,mid,0.765,-12.57,-13.9,1.33,-8.5,2.87,FLAT,-29.85,-30.84,0.99,-23.88,59.87,MED,1.1105,-,1,18.196,gold_peak,2026-02-15,28
63,BCM.AX,Brazilian Critical Minerals Limited,Gold,small,0.03,-14.29,-13.9,-0.39,-4.13,3.43,FLAT,-37.5,-30.84,-6.66,-25.0,53.29,LOW,0.5321,-,1,17.829,gold_peak,2026-02-15,28
64,TGM.AX,Theta Gold Mines Limited,Gold,small,0.21,-10.64,-13.9,3.26,-2.92,11.71,FLAT,-16.33,-30.84,14.51,-14.29,69.08,LOW,0.1758,-,1,17.675,gold_peak,2026-02-15,28
65,TTM.AX,Titan Minerals Limited,Gold,small,0.835,-13.02,-13.9,0.88,-7.03,9.33,FLAT,-31.02,-30.84,-0.18,-22.69,57.24,LOW,0.3848,-,1,17.578,gold_peak,2026-02-15,28
66,OBM.AX,Ora Banda Mining Ltd,Gold,mid,1.14,-12.98,-13.9,0.92,-15.06,14.65,FLAT,-30.0,-30.84,0.84,-24.0,57.89,MED,1.4952,-,1,17.483,gold_peak,2026-02-15,28
